,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Explanation,Reference
STPG3-AS1,4.50E-82,2.222035605,0.013,0.001,1.26E-77,,,
GINS3,4.51E-82,1.049826403,0.031,0.007,1.26E-77,,,
UNKL,5.16E-82,0.111749799,0.159,0.087,1.45E-77,,,
PRSS55,5.19E-82,3.492325176,0.011,0.001,1.46E-77,,,
TUBA1A,6.88E-82,-2.154005649,0.043,0.107,1.93E-77,,,
AC079336.4,7.31E-82,-4.096428695,0.006,0.052,2.05E-77,,,
PLEK,8.61E-82,-3.201352197,0.017,0.069,2.41E-77,,,
SHANK2,9.36E-82,-2.945550524,0.019,0.074,2.62E-77,,,
AL592430.1,9.80E-82,1.203073717,0.023,0.004,2.75E-77,,,
NEO1,1.02E-81,-1.41131238,0.234,0.295,2.85E-77,,,
ZFYVE9,1.15E-81,-0.133229257,0.338,0.21,3.23E-77,,,
CEBPG,1.22E-81,0.584139512,0.059,0.022,3.42E-77,,,
C8orf34-AS1,1.40E-81,2.411506857,0.012,0.001,3.92E-77,,,
OLFM2,1.50E-81,0.342517153,0.072,0.029,4.22E-77,,,
TRAPPC8,1.76E-81,-0.130612818,0.321,0.199,4.94E-77,,,
SMAD3,1.79E-81,-0.10997327,0.342,0.214,5.01E-77,,,
DCDC1,2.35E-81,-2.295488745,0.032,0.092,6.58E-77,,,
CENPV,2.52E-81,0.37145105,0.085,0.037,7.06E-77,,,
HYI,2.93E-81,0.415480785,0.081,0.035,8.20E-77,,,
AP001496.1,3.37E-81,3.092520857,0.012,0.001,9.45E-77,,,
C3orf67-AS1,3.59E-81,1.198561078,0.034,0.009,1.01E-76,,,
RTN4IP1,3.83E-81,0.41634378,0.065,0.025,1.07E-76,,,
SCUBE1,4.14E-81,1.956156917,0.016,0.002,1.16E-76,,,
AC007036.1,4.57E-81,1.18676345,0.03,0.007,1.28E-76,,,
CSF1R,5.44E-81,-2.480979254,0.046,0.109,1.53E-76,,,
NAGLU,5.60E-81,0.302337245,0.091,0.041,1.57E-76,,,
PARD3B,6.04E-81,-0.673189457,0.81,0.68,1.69E-76,,,
AL121944.1,6.51E-81,0.384797281,0.081,0.035,1.82E-76,,,
GRM5,6.57E-81,1.279430199,0.032,0.008,1.84E-76,,,
AC034111.1,7.69E-81,1.198173992,0.032,0.008,2.15E-76,,,
SEC31B,9.70E-81,0.201337965,0.098,0.046,2.72E-76,,,
AC025211.1,9.87E-81,-3.796478132,0.007,0.053,2.77E-76,,,
MT-ND6,9.95E-81,-1.704071484,0.083,0.155,2.79E-76,,,
PARP10,1.12E-80,0.155757636,0.099,0.046,3.15E-76,,,
PEAK1,1.32E-80,-1.136865028,0.425,0.435,3.71E-76,,,
RMDN3,1.33E-80,0.148851102,0.105,0.05,3.72E-76,,,
MAP3K14,1.51E-80,-1.900632231,0.072,0.142,4.22E-76,,,
MTIF2,1.65E-80,0.154968982,0.127,0.065,4.61E-76,,,
DPH6-AS1,1.66E-80,-0.105332603,0.429,0.276,4.64E-76,,,
GBP3,1.69E-80,-2.483179126,0.018,0.072,4.74E-76,,,
TMEM9B-AS1,1.79E-80,0.203819682,0.132,0.069,5.02E-76,,,
RABL3,2.61E-80,0.145857739,0.113,0.056,7.32E-76,,,
AC007569.1,2.72E-80,0.878279824,0.048,0.016,7.63E-76,,,
RGS6,3.26E-80,-1.446415281,0.085,0.16,9.12E-76,,,
RORC,3.29E-80,-4.108409692,0.003,0.046,9.23E-76,,,
AC109361.2,3.50E-80,-5.388752782,0.002,0.045,9.82E-76,,,
FGF22,3.51E-80,2.237704578,0.014,0.001,9.84E-76,,,
HSF4,4.52E-80,0.41287467,0.079,0.034,1.27E-75,,,
PATJ,4.87E-80,-1.390530133,0.322,0.355,1.36E-75,,,
KCNAB2,4.91E-80,-3.425135149,0.013,0.063,1.38E-75,,,
MRC2,5.02E-80,-2.400527693,0.048,0.111,1.41E-75,,,
MGMT,6.12E-80,-0.124879886,0.395,0.252,1.72E-75,,,
PEX5,6.67E-80,0.788466293,0.059,0.022,1.87E-75,,,
AC025283.2,8.45E-80,0.113498722,0.126,0.064,2.37E-75,,,
BRIP1,9.68E-80,0.678161583,0.05,0.017,2.71E-75,,,
NAMPT,1.06E-79,-0.255782558,0.183,0.104,2.97E-75,,,
AC114947.2,1.06E-79,1.15077915,0.03,0.007,2.98E-75,,,
AC009951.2,1.08E-79,0.374775289,0.061,0.023,3.03E-75,,,
GPR158,1.13E-79,1.56313183,0.024,0.005,3.17E-75,,,
ADAM9,1.16E-79,-1.75321037,0.104,0.176,3.26E-75,,,
AC073941.1,1.19E-79,2.998317643,0.013,0.001,3.34E-75,,,
SNX10,1.21E-79,0.127851002,0.103,0.05,3.39E-75,,,
MBOAT2,1.24E-79,-2.683095946,0.021,0.076,3.49E-75,,,
ACBD4,1.26E-79,0.455648444,0.079,0.034,3.54E-75,,,
HEXA-AS1,1.31E-79,1.41729624,0.023,0.004,3.68E-75,,,
APBA1,1.36E-79,-2.027922566,0.074,0.142,3.82E-75,,,
NBPF3,1.49E-79,0.402341543,0.072,0.03,4.17E-75,,,
STK35,1.51E-79,0.201219105,0.134,0.07,4.22E-75,,,
CYP1B1,1.52E-79,-2.30261925,0.045,0.107,4.27E-75,,,
GINS2,1.77E-79,1.480156214,0.026,0.006,4.95E-75,,,
AHNAK,1.80E-79,-1.07145362,0.43,0.442,5.05E-75,,,
LRCH2,1.82E-79,-3.898504178,0.008,0.054,5.10E-75,,,
NRF1,1.90E-79,-0.121788703,0.334,0.21,5.34E-75,,,
SCARB1,2.27E-79,-2.026104692,0.075,0.144,6.37E-75,,,
PARP9,2.43E-79,-2.049592364,0.054,0.12,6.80E-75,,,
MAST4-IT1,2.64E-79,1.002746116,0.035,0.01,7.39E-75,,,
AC091979.1,2.72E-79,2.680164533,0.013,0.001,7.62E-75,,,
AP005131.1,3.21E-79,0.352928263,0.091,0.042,8.98E-75,,,
ZEB2-AS1,3.37E-79,0.816346962,0.038,0.011,9.45E-75,,,
TMCC3,3.43E-79,-2.717451101,0.024,0.079,9.61E-75,,,
NFS1,3.43E-79,0.37925484,0.077,0.033,9.62E-75,,,
MRI1,3.77E-79,0.101732181,0.167,0.093,1.06E-74,,,
NKIRAS1,6.91E-79,0.118208267,0.117,0.059,1.94E-74,,,
AC010531.6,7.65E-79,1.375877082,0.025,0.005,2.14E-74,,,
GATM,7.72E-79,0.645860909,0.055,0.02,2.16E-74,,,
C2-AS1,8.46E-79,-4.276997235,0.002,0.044,2.37E-74,,,
DUXAP8,9.67E-79,0.761375516,0.037,0.011,2.71E-74,,,
GNB5,1.14E-78,-2.572968293,0.028,0.084,3.19E-74,,,
BHMT,1.14E-78,1.67353345,0.019,0.003,3.20E-74,,,
EPS8L2,1.18E-78,-3.343610831,0.009,0.056,3.31E-74,,,
CST7,1.21E-78,0.453811732,0.036,0.01,3.40E-74,,,
HLA-DRB1,1.22E-78,-1.716191841,0.147,0.218,3.41E-74,,,
TMEM256-PLSCR3,1.33E-78,1.095397656,0.034,0.009,3.73E-74,,,
AC091132.2,1.37E-78,0.494398492,0.053,0.019,3.83E-74,,,
PJA1,1.53E-78,0.77782532,0.033,0.009,4.30E-74,,,
AC116903.2,1.66E-78,-4.339102032,0.005,0.049,4.65E-74,,,
ACKR2,1.83E-78,1.324424655,0.023,0.004,5.13E-74,,,
AL354696.2,1.95E-78,0.275290762,0.117,0.059,5.47E-74,,,
LINC00526,2.29E-78,1.310753551,0.026,0.005,6.43E-74,,,
RBM47,2.94E-78,-2.266450203,0.152,0.219,8.24E-74,,,
AC012409.2,3.42E-78,-1.653121144,0.194,0.263,9.58E-74,,,
GRM7,4.27E-78,0.30266268,0.098,0.047,1.20E-73,,,
AC011092.2,5.29E-78,-0.154077108,0.288,0.178,1.48E-73,,,
ROCK1,5.50E-78,-1.010539006,0.434,0.439,1.54E-73,,,
MVP,5.51E-78,-1.940165789,0.055,0.121,1.54E-73,,,
LINC02426,5.99E-78,1.975863889,0.017,0.002,1.68E-73,,,
URB2,6.43E-78,0.554752058,0.054,0.02,1.80E-73,,,
RPRD1A,7.61E-78,-0.115699294,0.291,0.181,2.13E-73,,,
MIR497HG,7.78E-78,0.846819351,0.039,0.012,2.18E-73,,,
AC010226.1,9.47E-78,0.108903074,0.125,0.064,2.66E-73,,,
AC024257.3,9.84E-78,1.027395483,0.036,0.01,2.76E-73,,,
LCP1,1.04E-77,-2.826973455,0.024,0.079,2.91E-73,,,
NPL,1.44E-77,-2.742804847,0.045,0.106,4.04E-73,,,
PLEC,1.63E-77,-2.062070726,0.044,0.106,4.57E-73,,,
AC021054.1,1.73E-77,0.385300588,0.057,0.021,4.85E-73,,,
NECTIN3-AS1,1.73E-77,0.943794245,0.039,0.012,4.86E-73,,,
STYXL1,1.79E-77,0.159459967,0.126,0.065,5.02E-73,,,
SPEG,1.84E-77,-2.690080937,0.019,0.071,5.16E-73,,,
TMEM56-RWDD3,1.86E-77,0.967169889,0.033,0.009,5.22E-73,,,
ZNF808,1.88E-77,0.173588716,0.129,0.068,5.27E-73,,,
AC007686.3,1.94E-77,1.557526536,0.022,0.004,5.45E-73,,,
AVIL,2.13E-77,0.129495719,0.143,0.077,5.98E-73,,,
LINC00847,2.18E-77,0.687027366,0.045,0.015,6.12E-73,,,
AL442071.1,2.71E-77,0.800471792,0.04,0.012,7.59E-73,,,
KLF5,4.12E-77,-3.073090212,0.011,0.058,1.16E-72,,,
PLAT,4.20E-77,-2.497316747,0.034,0.092,1.18E-72,,,
COPS3,4.31E-77,0.200655635,0.103,0.05,1.21E-72,,,
AP003119.3,4.67E-77,3.081480981,0.011,0.001,1.31E-72,,,
BPNT1,4.80E-77,0.329910735,0.088,0.041,1.34E-72,,,
TRPV1,4.84E-77,0.680533991,0.046,0.015,1.36E-72,,,
LMOD1,5.49E-77,-1.554025803,0.081,0.153,1.54E-72,,,
ZNF331,6.02E-77,0.101381078,0.151,0.082,1.69E-72,,,
LMLN,6.19E-77,0.220316857,0.113,0.057,1.73E-72,,,
CACHD1,6.20E-77,-0.112763926,0.421,0.273,1.74E-72,,,
ZC2HC1A,6.48E-77,-1.455246386,0.159,0.231,1.82E-72,,,
FAM20C,6.59E-77,0.384960332,0.088,0.041,1.85E-72,,,
GSTZ1,7.35E-77,0.523632995,0.06,0.023,2.06E-72,,,
NPHS1,7.53E-77,-4.616541592,0.004,0.046,2.11E-72,,,
HEMK1,7.67E-77,0.353780584,0.078,0.034,2.15E-72,,,
PLEKHG2,7.85E-77,0.512632411,0.055,0.021,2.20E-72,,,
USO1,7.97E-77,-0.101128045,0.421,0.272,2.23E-72,,,
GOLGA8H,8.07E-77,0.948879912,0.031,0.008,2.26E-72,,,
LINC01362,8.59E-77,0.837629962,0.054,0.02,2.41E-72,,,
CHCHD6,8.98E-77,-2.026918916,0.056,0.12,2.52E-72,,,
GTF2IRD1,9.39E-77,0.129039098,0.161,0.09,2.63E-72,,,
SMAD9,9.46E-77,-2.655283062,0.024,0.078,2.65E-72,,,
AC108474.1,9.68E-77,3.280161188,0.011,0.001,2.71E-72,,,
FAM166B,9.84E-77,3.18867014,0.011,0.001,2.76E-72,,,
MRVI1-AS1,1.11E-76,-3.811710932,0.009,0.055,3.11E-72,,,
ACBD5,1.31E-76,0.129393362,0.134,0.071,3.66E-72,,,
RNF213,1.48E-76,-1.112841877,0.374,0.4,4.15E-72,,,
ST7-OT4,1.61E-76,0.806601571,0.044,0.014,4.51E-72,,,
AC006305.1,1.67E-76,-3.285335249,0.014,0.063,4.67E-72,,,
COQ3,1.80E-76,0.878911559,0.037,0.011,5.04E-72,,,
KLHL36,1.85E-76,0.157769082,0.133,0.071,5.18E-72,,,
CCNT2,2.05E-76,-0.101884077,0.312,0.196,5.75E-72,,,
LINC01185,2.07E-76,1.220752187,0.03,0.008,5.80E-72,,,
AL445183.1,2.11E-76,-3.65743916,0.005,0.048,5.90E-72,,,
AADACL2-AS1,2.18E-76,-3.939649065,0.008,0.053,6.11E-72,,,
AP001442.1,2.49E-76,-3.94959866,0.007,0.051,6.97E-72,,,
OVCH1-AS1,2.57E-76,0.394557801,0.053,0.019,7.20E-72,,,
AC079760.2,2.57E-76,0.519643031,0.07,0.029,7.20E-72,,,
BAG2,2.62E-76,0.211478008,0.095,0.045,7.34E-72,,,
MTMR4,2.89E-76,0.106584599,0.134,0.071,8.10E-72,,,
KLK10,3.12E-76,-2.9777156,0.011,0.057,8.74E-72,,,
HTR2B,3.43E-76,0.211779637,0.074,0.032,9.60E-72,,,
MAATS1,3.53E-76,-3.634578372,0.007,0.05,9.89E-72,,,
ABCG1,3.58E-76,-3.204351325,0.012,0.06,1.00E-71,,,
KIAA1586,3.83E-76,0.206612028,0.113,0.057,1.07E-71,,,
GC,3.91E-76,3.013108741,0.012,0.001,1.10E-71,,,
AL080250.1,4.26E-76,0.254655016,0.078,0.034,1.19E-71,,,
TSPAN18,4.31E-76,-3.494217073,0.011,0.058,1.21E-71,,,
AC093158.1,4.35E-76,0.771096062,0.047,0.016,1.22E-71,,,
UBL7-AS1,4.63E-76,0.266841573,0.09,0.042,1.30E-71,,,
FAM3A,4.90E-76,0.224246292,0.091,0.042,1.37E-71,,,
LDB3,5.26E-76,0.441415968,0.037,0.011,1.47E-71,,,
OSR1,5.91E-76,-2.876198056,0.01,0.057,1.66E-71,,,
ARHGAP26,8.06E-76,-0.792359026,0.348,0.406,2.26E-71,,,
GIMAP8,8.31E-76,-3.659962935,0.01,0.057,2.33E-71,,,
C5orf17,9.53E-76,0.619222135,0.067,0.028,2.67E-71,,,
PRR26,1.00E-75,0.638503378,0.04,0.012,2.81E-71,,,
VAV1,1.00E-75,-3.574805458,0.014,0.062,2.81E-71,,,
LINC01901,1.13E-75,-4.368597618,0.004,0.046,3.17E-71,,,
ACADSB,1.18E-75,0.152767907,0.118,0.061,3.29E-71,,,
LINC00971,1.25E-75,2.073562633,0.015,0.002,3.49E-71,,,
AHR,1.30E-75,-2.21127579,0.035,0.093,3.65E-71,,,
EPN2,1.50E-75,-1.372888695,0.228,0.288,4.21E-71,,,
THNSL2,1.64E-75,0.273746213,0.09,0.042,4.60E-71,,,
UBAC2-AS1,1.94E-75,1.255097241,0.031,0.008,5.44E-71,,,
KCNK1,1.94E-75,-3.633829996,0.007,0.05,5.45E-71,,,
ITGA5,2.02E-75,-3.370306826,0.014,0.062,5.67E-71,,,
MPRIP,2.50E-75,-0.11641767,0.291,0.181,7.00E-71,,,
ZNF594,2.54E-75,0.180376451,0.12,0.062,7.13E-71,,,
P2RX7,2.95E-75,-2.571190047,0.024,0.078,8.26E-71,,,
IQSEC3,2.99E-75,0.518358344,0.036,0.01,8.39E-71,,,
SCD5,3.64E-75,-3.298636359,0.011,0.057,1.02E-70,,,
ATP7B,3.96E-75,-1.991628459,0.062,0.126,1.11E-70,,,
AL022328.4,4.06E-75,1.100615504,0.029,0.007,1.14E-70,,,
AP003059.2,4.23E-75,0.677354341,0.05,0.018,1.19E-70,,,
C4orf47,4.61E-75,-2.971302718,0.018,0.068,1.29E-70,,,
AC099522.2,5.81E-75,1.51783676,0.022,0.004,1.63E-70,,,
CHD3,6.26E-75,-2.195176477,0.044,0.105,1.75E-70,,,
AC019270.1,7.72E-75,1.073319968,0.023,0.005,2.16E-70,,,
AL136988.2,9.76E-75,0.753718192,0.043,0.014,2.74E-70,,,
CPXM1,9.94E-75,-2.636383911,0.018,0.068,2.79E-70,,,
BMP7,1.24E-74,-3.582292982,0.007,0.051,3.48E-70,,,
AC004477.1,1.26E-74,0.935927655,0.037,0.011,3.54E-70,,,
ARHGAP29,1.27E-74,-1.320906454,0.335,0.364,3.57E-70,,,
ADAMTS9,1.34E-74,-0.380498792,0.41,0.261,3.76E-70,,,
AC015813.1,1.44E-74,0.660363084,0.05,0.018,4.04E-70,,,
FRMPD4,1.48E-74,-3.625624166,0.015,0.063,4.15E-70,,,
ZNF441,1.70E-74,0.287094024,0.084,0.039,4.76E-70,,,
AC005740.3,1.70E-74,0.378932998,0.064,0.026,4.76E-70,,,
ZNF710,1.87E-74,-2.151205538,0.059,0.122,5.24E-70,,,
SELENOP,2.06E-74,-1.028405811,0.506,0.493,5.77E-70,,,
AP000941.1,2.17E-74,2.118296333,0.017,0.002,6.09E-70,,,
GPR137B,2.24E-74,-1.799913773,0.075,0.141,6.28E-70,,,
TMC5,2.63E-74,-2.333941716,0.028,0.082,7.37E-70,,,
NLRX1,2.76E-74,0.151757141,0.111,0.056,7.75E-70,,,
AC002383.1,2.90E-74,1.89553694,0.015,0.002,8.13E-70,,,
PYGB,3.05E-74,0.354312516,0.09,0.043,8.54E-70,,,
XPOT,3.13E-74,0.157768314,0.105,0.052,8.77E-70,,,
TARDBP,3.22E-74,0.129017684,0.116,0.06,9.02E-70,,,
AC069228.1,3.34E-74,1.130890556,0.025,0.006,9.36E-70,,,
AC015908.2,5.89E-74,-3.487885731,0.006,0.049,1.65E-69,,,
DZIP1L,6.38E-74,0.128197153,0.147,0.081,1.79E-69,,,
DCBLD2,6.76E-74,-1.352648445,0.26,0.309,1.89E-69,,,
MINDY3,8.31E-74,-0.12025256,0.287,0.179,2.33E-69,,,
AC141930.1,9.18E-74,2.187938566,0.015,0.002,2.57E-69,,,
FAM151B,9.28E-74,0.335938046,0.088,0.041,2.60E-69,,,
SYT12,9.92E-74,1.67091902,0.02,0.004,2.78E-69,,,
AL354811.1,1.10E-73,2.921857989,0.01,0,3.08E-69,,,
C11orf70,1.14E-73,0.693830374,0.051,0.019,3.19E-69,,,
BCDIN3D,1.21E-73,0.417191149,0.066,0.027,3.40E-69,,,
SLC31A1,1.38E-73,0.308931003,0.097,0.047,3.86E-69,,,
NCEH1,1.46E-73,-2.163915507,0.04,0.099,4.10E-69,,,
SLFN5,1.59E-73,-0.106003808,0.23,0.14,4.46E-69,,,
DLAT,1.66E-73,0.270186238,0.085,0.039,4.64E-69,,,
RBMS3-AS1,1.96E-73,0.619572953,0.046,0.016,5.49E-69,,,
HCK,2.31E-73,-3.316707754,0.014,0.061,6.47E-69,,,
AC007495.1,2.42E-73,0.939347907,0.032,0.009,6.80E-69,,,
ADCY9,2.56E-73,-1.759089291,0.102,0.17,7.18E-69,,,
AC068305.3,2.63E-73,1.146200897,0.031,0.008,7.37E-69,,,
AC037459.2,2.84E-73,-3.505837048,0.008,0.051,7.97E-69,,,
PRRT3-AS1,2.94E-73,0.405522012,0.074,0.032,8.25E-69,,,
AP000662.2,2.96E-73,-3.044222582,0.012,0.058,8.29E-69,,,
AC091946.1,3.16E-73,1.000076104,0.038,0.012,8.87E-69,,,
SLC25A10,3.36E-73,1.86808448,0.015,0.002,9.41E-69,,,
AC008056.1,3.37E-73,1.468187485,0.019,0.003,9.45E-69,,,
GPR153,3.51E-73,0.731239447,0.052,0.019,9.84E-69,,,
GYS2,3.62E-73,1.884340621,0.015,0.002,1.02E-68,,,
LINC01431,3.98E-73,1.816856762,0.018,0.003,1.11E-68,,,
POP5,4.12E-73,0.110943614,0.117,0.06,1.15E-68,,,
PPP4R2,4.34E-73,-0.124032404,0.344,0.22,1.22E-68,,,
SLC25A51,4.62E-73,0.866103318,0.03,0.008,1.29E-68,,,
AL133523.1,4.77E-73,0.379761159,0.063,0.025,1.34E-68,,,
LINC02381,4.92E-73,-2.536894872,0.02,0.07,1.38E-68,,,
PLLP,5.25E-73,-2.33710201,0.024,0.077,1.47E-68,,,
GSPT1,5.88E-73,-0.122053823,0.254,0.157,1.65E-68,,,
MAGI1-AS1,6.40E-73,-0.134995028,0.122,0.063,1.79E-68,,,
ZSCAN21,7.77E-73,0.218525622,0.084,0.039,2.18E-68,,,
ST6GALNAC6,8.73E-73,0.236871073,0.079,0.035,2.45E-68,,,
AC103702.2,1.01E-72,2.585022154,0.011,0.001,2.84E-68,,,
CHIC1,1.16E-72,-1.777729776,0.079,0.144,3.26E-68,,,
WDFY4,1.21E-72,-3.206396892,0.013,0.06,3.40E-68,,,
WFS1,1.34E-72,0.295176549,0.069,0.029,3.75E-68,,,
PDZD7,1.45E-72,1.383190656,0.025,0.006,4.06E-68,,,
TSPAN4,1.60E-72,-1.43565723,0.158,0.227,4.50E-68,,,
SSX2IP,1.65E-72,-3.406153167,0.008,0.05,4.62E-68,,,
AP005212.5,2.06E-72,1.196438485,0.028,0.007,5.76E-68,,,
BDH2,2.29E-72,-1.696420928,0.087,0.154,6.42E-68,,,
ARHGDIG,2.48E-72,1.149712356,0.026,0.006,6.96E-68,,,
TYK2,2.76E-72,0.102879177,0.108,0.055,7.73E-68,,,
EGFL7,2.98E-72,-3.242389345,0.02,0.07,8.37E-68,,,
BTC,3.02E-72,0.469737972,0.05,0.018,8.46E-68,,,
SUSD5,3.72E-72,-3.193047036,0.01,0.055,1.04E-67,,,
PHACTR2,3.95E-72,-1.375384888,0.254,0.307,1.11E-67,,,
TIGD7,4.25E-72,0.199053162,0.088,0.041,1.19E-67,,,
MRPL45,4.59E-72,0.237336269,0.084,0.039,1.29E-67,,,
SLC2A9,4.64E-72,-2.964129885,0.019,0.069,1.30E-67,,,
SLC22A14,4.92E-72,1.61163065,0.018,0.003,1.38E-67,,,
AC144652.1,5.22E-72,1.31196123,0.019,0.003,1.46E-67,,,
FAM53C,5.23E-72,0.169961996,0.1,0.05,1.47E-67,,,
HCG27,5.36E-72,0.120826634,0.096,0.046,1.50E-67,,,
TGFB2,7.31E-72,-2.470154316,0.024,0.076,2.05E-67,,,
ILDR2,8.30E-72,-3.245467453,0.006,0.046,2.33E-67,,,
AC097480.1,8.37E-72,-4.699314294,0.003,0.042,2.35E-67,,,
PP2D1,8.43E-72,0.338699315,0.069,0.029,2.36E-67,,,
PCOLCE,8.57E-72,-2.162568311,0.037,0.094,2.40E-67,,,
KIAA1522,8.61E-72,-2.214103577,0.03,0.085,2.41E-67,,,
LINC01081,8.92E-72,3.319778281,0.01,0.001,2.50E-67,,,
CTSS,8.92E-72,-1.797022276,0.137,0.202,2.50E-67,,,
PSKH1,9.78E-72,0.25334112,0.084,0.039,2.74E-67,,,
PDE2A,9.93E-72,-3.482950673,0.009,0.053,2.78E-67,,,
ARL4D,1.12E-71,-2.714393481,0.015,0.061,3.13E-67,,,
ZNF844,1.13E-71,0.249703155,0.091,0.044,3.18E-67,,,
AC138028.4,1.13E-71,1.627050633,0.018,0.003,3.18E-67,,,
TGFBI,1.14E-71,-2.026229711,0.06,0.122,3.20E-67,,,
SNX16,1.41E-71,0.123397118,0.105,0.053,3.95E-67,,,
AC005225.3,1.45E-71,1.245768478,0.03,0.008,4.05E-67,,,
LEKR1,1.52E-71,0.284650234,0.088,0.042,4.25E-67,,,
TRABD2B,1.73E-71,-4.332894643,0.006,0.046,4.85E-67,,,
FAM153C,2.26E-71,-4.297135597,0.003,0.041,6.33E-67,,,
RPS18,2.51E-71,-1.305722435,0.301,0.35,7.02E-67,,,
LINC00562,2.74E-71,1.839013374,0.019,0.003,7.68E-67,,,
ZC3H12B,3.00E-71,-2.26020378,0.037,0.093,8.42E-67,,,
IGFBP2,3.61E-71,-2.011580374,0.04,0.098,1.01E-66,,,
AC020978.4,3.63E-71,0.470215426,0.046,0.016,1.02E-66,,,
TVP23B,4.03E-71,0.269967411,0.091,0.044,1.13E-66,,,
AL359851.1,4.33E-71,1.953057775,0.014,0.002,1.21E-66,,,
TRIB1,5.06E-71,0.845579261,0.043,0.015,1.42E-66,,,
SIRPA,5.51E-71,-2.349450323,0.029,0.083,1.54E-66,,,
AC005154.5,5.73E-71,0.550694733,0.046,0.016,1.61E-66,,,
MLH3,6.02E-71,-0.101135169,0.258,0.16,1.69E-66,,,
CASP10,6.61E-71,-2.618670853,0.023,0.073,1.85E-66,,,
CLCN4,6.82E-71,0.862587651,0.032,0.009,1.91E-66,,,
EVC2,7.54E-71,-1.725848628,0.085,0.151,2.11E-66,,,
KPNA1,8.03E-71,-0.142313242,0.302,0.191,2.25E-66,,,
ACAA2,8.40E-71,0.184127774,0.111,0.058,2.35E-66,,,
AC021517.1,8.47E-71,2.173450309,0.016,0.002,2.37E-66,,,
LINC01504,8.75E-71,0.27238483,0.116,0.061,2.45E-66,,,
HECTD3,9.69E-71,0.562811684,0.057,0.023,2.71E-66,,,
TMEM72,9.71E-71,2.482453721,0.013,0.001,2.72E-66,,,
BTNL8,1.07E-70,-2.829673233,0.013,0.058,2.99E-66,,,
CR1,1.09E-70,-3.356765975,0.013,0.059,3.05E-66,,,
GPRC5A,1.16E-70,-3.385897297,0.008,0.051,3.26E-66,,,
AC124861.1,1.43E-70,-4.737272525,0.002,0.039,4.01E-66,,,
TMEM87A,1.60E-70,-0.112014455,0.371,0.242,4.49E-66,,,
HSF1,1.74E-70,0.138089882,0.115,0.06,4.89E-66,,,
PIP4K2A,1.78E-70,-1.868744463,0.15,0.213,4.99E-66,,,
AC106820.5,1.79E-70,1.855345566,0.019,0.003,5.02E-66,,,
DNAJC22,2.26E-70,-3.122015276,0.008,0.049,6.33E-66,,,
COX7A1,2.32E-70,0.259481365,0.055,0.021,6.49E-66,,,
AL355336.1,2.34E-70,1.132786243,0.031,0.008,6.55E-66,,,
ZNF500,2.60E-70,0.204694663,0.092,0.045,7.28E-66,,,
HARS2,2.76E-70,0.156900231,0.108,0.055,7.73E-66,,,
NRK,2.78E-70,-3.584998967,0.007,0.047,7.80E-66,,,
LSP1,2.82E-70,-3.417735263,0.013,0.058,7.91E-66,,,
AL356134.1,2.88E-70,-7.187982581,0,0.036,8.06E-66,,,
EIF4EBP1,3.06E-70,0.429993259,0.074,0.033,8.57E-66,,,
AL158832.1,3.15E-70,1.137574022,0.025,0.006,8.83E-66,,,
AL049637.1,3.17E-70,0.498181773,0.053,0.02,8.89E-66,,,
ATP1A1,3.28E-70,-1.441387636,0.137,0.206,9.20E-66,,,
SPOCK1,3.31E-70,-3.359039223,0.024,0.074,9.28E-66,,,
CCND2,3.54E-70,-1.913266528,0.044,0.103,9.92E-66,,,
KALRN,3.70E-70,-1.572187732,0.271,0.318,1.04E-65,,,
CD86,3.75E-70,-3.214852174,0.012,0.057,1.05E-65,,,
AC004148.2,4.27E-70,0.334096449,0.065,0.027,1.20E-65,,,
AC025181.2,4.31E-70,1.333733209,0.023,0.005,1.21E-65,,,
PLCD4,4.41E-70,0.674944818,0.038,0.012,1.24E-65,,,
ADAM20,4.53E-70,1.711496542,0.021,0.004,1.27E-65,,,
KLHL3,4.86E-70,-0.1220925,0.084,0.039,1.36E-65,,,
SCOC-AS1,6.60E-70,0.799830773,0.037,0.012,1.85E-65,,,
LINC00982,7.13E-70,1.189516496,0.019,0.003,2.00E-65,,,
AC087190.2,7.41E-70,0.110721594,0.114,0.059,2.08E-65,,,
YTHDF3,7.88E-70,-0.122908361,0.282,0.178,2.21E-65,,,
F11R,8.03E-70,0.413862735,0.061,0.025,2.25E-65,,,
ASB16,8.32E-70,0.452450844,0.055,0.021,2.33E-65,,,
GPATCH2,9.06E-70,-0.132984598,0.385,0.25,2.54E-65,,,
ALOX5,9.86E-70,-3.294303497,0.014,0.06,2.76E-65,,,
GDAP1,1.03E-69,-2.334107093,0.021,0.071,2.88E-65,,,
UCP1,1.18E-69,1.618545488,0.017,0.003,3.31E-65,,,
KIZ-AS1,1.32E-69,-0.106334005,0.191,0.113,3.69E-65,,,
NCAM2,1.37E-69,-2.653122107,0.036,0.091,3.83E-65,,,
MTMR7,1.48E-69,-1.989621915,0.045,0.102,4.15E-65,,,
ADAMTS13,1.54E-69,0.588223543,0.047,0.017,4.31E-65,,,
AL450306.1,1.60E-69,0.619876557,0.041,0.013,4.49E-65,,,
MYO18B,1.83E-69,1.135315469,0.025,0.006,5.12E-65,,,
AC092329.3,1.96E-69,0.660883416,0.042,0.014,5.48E-65,,,
